
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity,HEdgeInfinity rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
Las-Vegas-Henderson-Paradise_NV,1381479.0,8.942589789638495,63.54559135535176,0.4812591725541151,64,0.57861259997929,56,0.001550249810452461,52,0.34077431990918394,69,0.48130373219649131,69,0.6343642932207696,23
Lexington-Fayette_KY,517321.0,8.515602498255435,87.55492237894846,0.4880084666479388,60,0.5667826557308749,59,0.001806504803950523,50,0.50716337416472934,56,0.66766821105674456,56,0.34230393901303857,64
Little-Rock-North-Little-Rock-Conway_AR,722183.0,19.038526246117673,77.61467661243758,0.49919326788430324,51,0.6266047017008439,36,0.0011997570413198153,59,0.61326939880674625,34,0.78598627163973023,30,0.5024471021652008,47
Los-Angeles-Long-Beach-Anaheim_CA,12060163.0,7.972761230507415,37.99427918179879,0.6491534387769968,6,0.7654527162440619,6,0.002115791564703101,45,0.59187269180685587,37,0.74829928291698722,43,0.755298308220087,8
Louisville-Jefferson-County_KY-IN,1234053.0,12.113418143305028,84.9838702227538,0.5594056158485774,23,0.6642897040829062,21,0.0021567962238447404,44,0.64681430170524812,28,0.81724643809655717,24,0.5744738554263474,34
Madison_WI,662541.0,2.83167381339419,91.95672418763517,0.49448932801540657,57,0.5260288339261222,66,0.004274289727808192,15,0.54740135826850267,50,0.7044417617040315,52,0.3705172624067758,63
Milwaukee-Waukesha-West-Allis_WI,1560292.0,14.901569706183201,76.82324846887634,0.6859474967458793,4,0.7924291179045433,5,0.004974281673030053,7,0.82129480540326516,2,0.92546521197608911,2,0.8397657005361885,1
Minneapolis-St-Paul-Bloomington_MN-WI,3182405.0,4.920618211698385,87.3746427623134,0.5208593973445197,40,0.5793057648315285,55,0.004587294050738185,12,0.58180056118188239,42,0.74948775861607486,42,0.6089971368839848,28
Mobile_AL,442608.0,31.382622998228683,65.19900227741026,0.5412849989935581,32,0.6841368907226879,17,0.0014419059037808634,55,0.62113785574563074,32,0.78147195168478489,32,0.5048970512725235,46
Nashville-Davidson--Murfreesboro--Franklin_TN,1512964.0,13.758688243738781,81.5918951144905,0.5109454890767298,45,0.6146190277405669,41,0.0013118934423723594,58,0.55919318335124879,49,0.72985997591129004,49,0.5058265048251395,45
New-Orleans-Metairie_LA,1443940.0,36.11188830560826,57.55952463398756,0.5386537262058362,35,0.6948773837276576,15,0.0014366002954792458,56,0.66045521388505313,24,0.8262608961672856,22,0.4455903206331288,58
New-York-Newark-Jersey-City_NY-NJ-PA,18270080.0,17.30907034889831,56.266852690300205,0.6813012687006219,5,0.7971953645416998,4,0.003216802295896392,29,0.69647696063377795,15,0.8487929433471062,14,0.6233590085421712,26
North-Port-Sarasota-Bradenton_FL,582970.0,5.899102869787468,86.67118376588847,0.5096975145515499,46,0.5803711605955506,54,0.003272770320776917,26,0.64756675648167672,26,0.80639234924022984,26,0.33410759280348823,65
Oklahoma-City_OK,1176312.0,9.909785839131114,77.43472820136155,0.5110992439814288,44,0.6014726483928575,46,0.0024812294001574286,40,0.54701850976660182,51,0.72479242814475386,50,0.508608815336582,44
Omaha-Council-Bluffs_NE-IA,831055.0,7.101455379006202,86.34205918982498,0.5630811899022532,19,0.6565991128707201,25,0.0045720828191395035,13,0.67466898918670393,21,0.83781080762940607,17,0.7777056214683644,6
Orlando-Kissimmee-Sanford_FL,1799646.0,13.003668499249295,68.65600234712826,0.49833435657446734,53,0.6091696382105107,43,0.0011669963930882785,60,0.51893728782973059,54,0.66947050059460855,55,0.5011358223055943,48
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,5903272.0,19.109504017433043,72.68062525324939,0.631249832066787,8,0.7560913894511769,7,0.002247102886799016,43,0.6747702259391648,20,0.83594012179202681,18,0.7112610281890872,14
