GEOid,GEOid2,GEOdisplay,TOTPOP,POP_HISP,POP_NOTHISP,POP_WHITE,POP_BLACK,POP_AMIN,POP_ASIAN,POP_NHPI,POP_OTHER,POP_2MORE
1400000US17031301802,17031301802,"Census Tract 3018.02, Cook County, Illinois",3518,3403,115,56,76,0,4,0,2,1
1400000US17031301803,17031301803,"Census Tract 3018.03, Cook County, Illinois",5357,5236,121,92,40,2,0,0,8,5
1400000US17031310200,17031310200,"Census Tract 3102, Cook County, Illinois",1336,794,542,399,88,4,38,0,3,22
1400000US17031310300,17031310300,"Census Tract 3103, Cook County, Illinois",1697,1147,550,415,69,2,42,0,2,22
1400000US17031310400,17031310400,"Census Tract 3104, Cook County, Illinois",1332,991,341,230,74,4,30,0,0,12
1400000US17031310500,17031310500,"Census Tract 3105, Cook County, Illinois",1700,1498,202,148,46,1,7,0,0,9
1400000US17031310600,17031310600,"Census Tract 3106, Cook County, Illinois",5868,4590,1278,787,404,7,78,2,19,49
1400000US17031310700,17031310700,"Census Tract 3107, Cook County, Illinois",1692,1435,257,207,26,2,16,0,2,10
1400000US17031310800,17031310800,"Census Tract 3108, Cook County, Illinois",4516,3978,538,402,107,6,24,0,5,29
1400000US17031310900,17031310900,"Census Tract 3109, Cook County, Illinois",5123,4468,655,494,105,7,41,0,2,31
1400000US17031320100,17031320100,"Census Tract 3201, Cook County, Illinois",10848,727,10121,6961,780,20,2066,5,42,267
